ts	trainer_pid	trainer_rss_mb	sys_avail_mb	sys_total_mb	gpu_used_mib	n_python
2026-09-04T23:31:43	122872	1304	4925	14188	3506	2
2026-09-04T23:32:14	122872	1304	4914	14188	3506	2
2026-09-04T23:32:46	122872	1305	4892	14188	3506	2
2026-09-04T23:33:18	122872	1306	4661	14188	3506	2
2026-09-04T23:33:50	122872	1306	4868	14188	3506	2
2026-09-04T23:34:21	122872	1307	4720	14188	3506	2
2026-09-04T23:34:53	122872	1307	4699	14188	3506	2
2026-09-04T23:35:25	122872	1307	4787	14188	3506	2
2026-09-04T23:35:57	122872	1307	4609	14188	3506	2
2026-09-04T23:36:28	122872	1307	4807	14188	3506	2
2026-09-04T23:37:00	122872	1307	4752	14188	3506	2
2026-09-04T23:37:32	122872	1307	4567	14188	3506	2
2026-09-04T23:38:03	122872	1308	4651	14188	3506	2
2026-09-04T23:38:35	122872	1308	4605	14188	3506	2
2026-09-04T23:39:07	122872	1170	4617	14188	3506	2
2026-09-04T23:39:40	122872	1170	4659	14188	3506	2
2026-09-04T23:40:12	122872	1171	4698	14188	3506	2
2026-09-04T23:40:43	122872	1171	4578	14188	3506	2
2026-09-04T23:41:15	122872	1171	4781	14188	3506	2
2026-09-04T23:41:47	122872	1171	4788	14188	3506	2
2026-09-04T23:42:18	122872	1171	4715	14188	3506	2
2026-09-04T23:42:50	122872	1171	4781	14188	3506	2
2026-09-04T23:43:22	122872	1171	4692	14188	3508	2
2026-09-04T23:43:54	122872	1171	4804	14188	3508	2
2026-09-04T23:44:25	122872	1172	4829	14188	3508	2
2026-09-04T23:44:57	122872	1172	4553	14188	3508	2
2026-09-04T23:45:29	122872	1172	4866	14188	3508	2
2026-09-04T23:46:00	122872	1172	4889	14188	3508	2
2026-09-04T23:46:32	122872	1172	4804	14188	3508	2
2026-09-04T23:47:04	122872	1172	4893	14188	3508	2
2026-09-04T23:47:35	122872	1172	4919	14188	3508	2
2026-09-04T23:48:07	122872	1172	4756	14188	3508	2
2026-09-04T23:48:39	122872	1172	4914	14188	3508	2
2026-09-04T23:49:10	122872	1172	4864	14188	3508	2
2026-09-04T23:49:42	122872	1172	4788	14188	3508	2
2026-09-04T23:50:14	122872	1172	4789	14188	3508	2
2026-09-04T23:50:46	122872	0	6043	14188	0	0
2026-09-04T23:51:18	122872	0	5974	14188	0	0
2026-09-04T23:51:51	122872	0	6056	14188	0	2
2026-09-04T23:52:24	122872	0	5920	14188	0	2
2026-09-04T23:52:56	122872	0	5555	14188	0	2
2026-09-04T23:53:28	122872	0	6579	14188	3456	2
2026-09-04T23:54:01	122872	0	6181	14188	3490	3
2026-09-04T23:54:33	122872	0	5969	14188	3490	2
2026-09-04T23:55:04	122872	0	5430	14188	3502	2
2026-09-04T23:55:16	117852	0	5183	14188	3502	2
2026-09-04T23:55:36	122872	0	5026	14188	3502	2
2026-09-04T23:55:48	117852	0	4432	14188	3502	2
